Date(UTC);Market;Type;Price;Amount;Total;Fee;Fee Coin
2024-03-19 07:17:09;ARUSDT;BUY;29.28;5;146.4;0.005;AR
2024-03-19 01:32:15;ARUSDT;BUY;31;5;155;0.005;AR
2024-03-15 09:13:13;FETUSDT;BUY;2.41;33;79.53;0.033;FET
2024-03-15 09:08:23;ARUSDT;BUY;33;3;99;0.003;AR
2024-03-14 09:19:41;DOGEUSDT;BUY;0.18719;534;99.95946;0.534;DOGE
2024-03-14 08:55:05;FETUSDT;BUY;2.5927;38;98.5226;0.038;FET
2024-03-08 14:13:05;ARUSDT;SELL;37.08;1.11;41.1588;0.0411588;USDT
2024-03-08 14:13:05;ARUSDT;SELL;37.08;4.44;164.6352;0.1646352;USDT
2024-03-08 14:13:05;ARUSDT;SELL;37.08;26.94;998.9352;0.9989352;USDT
2024-03-08 14:13:05;ARUSDT;SELL;37.08;1.37;50.7996;0.0507996;USDT
2024-03-08 14:13:05;ARUSDT;SELL;37.08;0.26;9.6408;0.0096408;USDT
2024-03-08 11:58:45;ILVUSDT;BUY;120.3;1.478;177.8034;0.001478;ILV
2024-03-08 11:57:56;ILVUSDT;BUY;120.3;0.2;24.06;0.0002;ILV
2024-03-08 11:57:56;ILVUSDT;BUY;120.3;0.2;24.06;0.0002;ILV
2024-03-08 11:57:56;ILVUSDT;BUY;120.3;0.2;24.06;0.0002;ILV
2024-03-06 22:03:45;ICPUSDT;BUY;15.049;8.69;130.77581;0.00869;ICP
2024-03-06 21:40:55;SNXUSDT;BUY;4.43;11.8;52.274;0.0118;SNX
2024-03-06 21:40:55;SNXUSDT;BUY;4.43;1.6;7.088;0.0016;SNX
2024-03-06 21:40:55;SNXUSDT;BUY;4.43;28.2;124.926;0.0282;SNX
2024-03-06 21:39:10;ASTRUSDT;BUY;0.1526;1638.2;249.98932;1.6382;ASTR
2024-03-06 21:37:39;ALGOUSDT;BUY;0.2531;790;199.949;0.79;ALGO
2024-03-06 21:36:11;ICPUSDT;BUY;15.049;0.76;11.43724;0.00076;ICP
2024-03-06 21:36:11;ICPUSDT;BUY;15.048;0.51;7.67448;0.00051;ICP
